feature,importance
calificacion_promedio,0.1257862820490233
match_categoria,0.09766750126025382
gasto_total_cop,0.0819432010224635
duracion_horas,0.06868537480081788
edad,0.0682315796939354
num_visitas_total,0.05875012721122011
precio_entrada_cop,0.05086473480733252
mes,0.047512922602867026
capacidad_max_dia,0.045575635558987256
ocupacion_estimada,0.035105525791810505
temp_max_prom,0.034505767375658046
altitud_msnm,0.032929180924420945
precip_prom,0.03235759361613795
categoria_favorita_enc,0.032355650829351344
clima_dia_visita_enc,0.028738700997096904
viaja_con_enc,0.027206664867421123
nivel_act_num,0.020386307537667223
dificultad_num,0.01861131380713096
categoria_lugar_enc,0.017287890995504394
presupuesto_preferido_enc,0.016946402088744216
clima_predominante_enc,0.012391303230161528
temporada_enc,0.011534657932205932
clima_favorable,0.011316370881743447
es_fin_semana,0.010698834656883247
actividad_compatible,0.006405017743987118
es_festivo,0.004245588165126616
precio_compatible,0.0019598695520477104
